# ATmega1281 bei 8 MHz, Autobaud HW UART Mode 32, CP2104 bei 115200 Baud, 2 Stop Bits
# mit Zähler-Vorteiler reset, kein LED blinken
# Fehler bei 40 Downloads mit je 10kByte
#   AVR  m1281   m1281    m1281    m1281  m1281  m1281
# Bridge CP2104  CP2104   CP2104   CP2104 CP2104 CH340G
#   Mode HW32    HW115200 HW125000 SW32   SW34   HW32
#   Tics N*8                       N*6    N*8    N*8
#   UBRR auto    8        7        auto   auto   auto
# Freq
7000000  40      40       40       0      0      40
7050000  40      40       40       0      0      40
7100000  0       40       0        0      0      0
7150000  0       40       0        4      0      0
7200000  0       40       0        0      0      0
7250000  0       40       0        0      0      0
7300000  0       40       0        0      0      0
7350000  0       40       0        0      0      0
7400000  0       40       0        0      0      0
7450000  0       40       0        0      0      0
7500000  0       40       0        0      0      0
7550000  0       40       0        0      0      0
7600000  0       40       0        0      7      40
7650000  0       40       0        0      40     40
7700000  0       40       0        0      40     40
7750000  0       40       0        0      0      40
7800000  16      40       0        0      0      40
7850000  40      40       40       0      0      40
7900000  40      40       40       0      0      40
7950000  40      40       40       0      0      40
8000000  0       0        40       0      0      0
8050000  0       0        40       0      0      0
8100000  0       0        40       0      0      0
8150000  0       0        40       0      0      0
8200000  0       0        40       0      0      0
8250000  0       0        40       0      0      0
8300000  0       0        40       0      0      0
8350000  0       0        40       0      0      0
8400000  0       0        40       0      0      0
8450000  0       0        40       0      0      0
8500000  0       0        40       0      24     0
8550000  0       0        40       0      40     40
8600000  0       0        40       0      0      40
8650000  0       0        40       0      0      40
8700000  0       0        40       0      0      40
8750000  15      0        40       0      0      40
8800000  40      40       40       0      0      40
8850000  0       40       40       0      0      0
8900000  0       40       40       0      0      0
8950000  0       40       40       0      0      0
9000000  0       40       40       0      0      0
# total  271     -        -        4      151    640
