# The optiboot is configured for 16 MHz operation and a Baud rate of 115200.
# The real Baud rate at 16 MHz is 117647, correct Baud 115200 at 15.6672 MHz Clock!
# Hardware UART of optiboot use 2 Stop Bits for Tx data.
# Test different USB-Serial Adapters with 115200 Baud, 2 Stop Bits (modified avrdude)
#
# CPU     m328p   m328p      m328   m328   m1281  m1281    m1281     m1281      m1281
# serial  FT232RL FT232clone CH340G CP2102 CP2104 PL2303TA PololoAVR ArduinoUNO CH340G
# UBBR    16      16         16     16     16     16       16        16         17
# Freq
14600000  40      40         40     40     40     40       40        40         40
14700000  40      40         40     40     40     40       40        40         40
14800000  40      40         40     40     40     40       40        40         40
14900000  40      40         40     40     40     40       40        40         40
15000000  40      40         40     0      40     40       40        40         40
15100000  0       40         0      0      0      0        40        40         40
15200000  0       0          0      0      0      0        40        40         40
15300000  0       1          0      0      0      0        40        40         40
15400000  0       0          0      0      0      0        0         0          40
15500000  0       0          0      0      0      0        0         0          40
15600000  0       0          0      0      0      0        0         0          40
15700000  0       0          0      0      0      0        0         0          40
15800000  0       0          0      0      0      0        0         0          40
15900000  0       0          0      0      0      0        0         0          40
16000000  0       0          0      0      0      0        0         0          0
16100000  0       0          0      0      0      0        0         0          0
16200000  0       0          40     0      0      0        0         0          0
16300000  0       0          40     0      0      0        0         0          0
16400000  0       0          40     0      0      0        0         0          0
16500000  0       0          40     40     0      0        0         0          0
16600000  40      40         40     40     0      0        40        0          0
16700000  40      40         40     40     40     40       40        40         0
16800000  40      40         40     40     40     40       40        40         0
16900000  40      40         40     40     40     40       40        40         0
17000000  40      40         40     40     40     40       40        40         0
17100000  40      40         40     40     40     40       40        40         40
# ErrFree 9.3%    8.7%       6.8%   9.3%   10%    10%      7.5%      8.1%       6.8%
#
